domain,1991-1995,1992_1996,1993_1997,1994_1998,1995_1999,1996_2000,1997_2001,1998_2002,1999_2003,2000_2004,2001_2005,2002_2006,2003_2007,2004_2008,2005_2009,2006_2010,2007_2011
.com,45,61,61,71,83,95,101,120,134,150,164,160,162,154,139,143,149
.edu,115,121,146,139,152,155,165,167,174,190,205,218,244,260,254,269,283
