domain,1991-1995,1992_1996,1993_1997,1994_1998,1995_1999,1996_2000,1997_2001,1998_2002,1999_2003,2000_2004,2001_2005,2002_2006,2003_2007,2004_2008,2005_2009,2006_2010,2007_2011
.com,50,73,75,85,101,116,117,139,164,182,203,200,209,195,176,180,187
.edu,140,159,210,214,235,245,254,244,250,269,286,309,349,376,373,393,411
